iter	Logloss
0	0.4915640464
1	0.3852395621
2	0.3100724681
3	0.2623124003
4	0.2218548576
5	0.2028022515
6	0.1891010679
7	0.1770061586
8	0.1682250928
9	0.1554644319
10	0.1501481978
11	0.1435366176
12	0.1401131021
13	0.1370162711
14	0.1353530306
15	0.1328404522
16	0.1294240839
17	0.1283353062
18	0.1272690489
19	0.1259732444
20	0.125096612
21	0.1238742749
22	0.1234262398
23	0.1228227198
24	0.1223558141
25	0.1214486116
26	0.1208932912
27	0.1204487667
28	0.1199591825
29	0.1193626483
30	0.1189876399
31	0.1185602281
32	0.1181482311
33	0.1178961246
34	0.1173715403
35	0.1167881481
36	0.1162560986
37	0.1155468157
38	0.1150481388
39	0.1146961845
40	0.1145100721
41	0.1142032034
42	0.1139606254
43	0.1135015127
44	0.1130590056
45	0.1128145849
46	0.1125751036
47	0.1122964469
48	0.1119294287
49	0.1117262551
50	0.1116021059
51	0.1113125908
52	0.1107563369
53	0.1104825725
54	0.1102941534
55	0.1101711458
56	0.1098016331
57	0.1096279946
58	0.1092950989
59	0.1090650101
60	0.1089455094
61	0.1088498919
62	0.1086698087
63	0.1084426307
64	0.1083361303
65	0.1080918081
66	0.1079574135
67	0.1078547588
68	0.1076930874
69	0.1075541243
70	0.1073969753
71	0.1072963233
72	0.1071830892
73	0.1070393506
74	0.1069446915
75	0.1068506939
76	0.1067561044
77	0.1066039506
78	0.1063544739
79	0.1061458434
80	0.1058551545
81	0.1057296274
82	0.105612017
83	0.1054445748
84	0.1052457172
85	0.1051031301
86	0.104991753
87	0.1048701219
88	0.1046738136
89	0.104608475
90	0.1044701002
91	0.104244305
92	0.1041922833
93	0.104065734
94	0.103863659
95	0.1037626044
96	0.1036658174
97	0.1035574448
98	0.1034875729
99	0.1033690778
100	0.1032910855
101	0.1031743638
102	0.1030443239
103	0.1028895358
104	0.102812575
105	0.1027662432
106	0.1025706867
107	0.1024318794
108	0.1023093156
109	0.1022577394
110	0.1021652758
111	0.102073574
112	0.1019811148
113	0.1019329166
114	0.1018676316
115	0.1018018004
116	0.1016468965
117	0.1015671316
118	0.1014654713
119	0.1014151287
120	0.1013224065
121	0.1011397907
122	0.1010584387
123	0.1009590762
124	0.1008319671
125	0.1007606662
126	0.1006265353
127	0.1005434712
128	0.1004889048
129	0.1003981009
130	0.1003519396
131	0.1002892388
132	0.1001362459
133	0.1000195722
134	0.09991550438
135	0.09979955386
136	0.09965450874
137	0.09961305925
138	0.0995866101
139	0.09952833299
140	0.09942299747
141	0.0993692313
142	0.09925142583
143	0.09912733057
144	0.09905455132
145	0.09886239288
146	0.09877059962
147	0.09864710464
148	0.09855138165
149	0.0984661363
150	0.09838464559
151	0.09829428096
152	0.09821259599
153	0.09810532189
154	0.09807143687
155	0.09799790991
156	0.09793804819
157	0.09788028868
158	0.09771144168
159	0.09761995544
160	0.09751740772
161	0.0974329299
162	0.09734419776
163	0.09728394078
164	0.09722995425
165	0.097177487
166	0.09715480719
167	0.09710395631
168	0.09702816971
169	0.09695871007
170	0.09685500903
171	0.09678437309
172	0.09670197286
173	0.09662841755
174	0.0965570567
175	0.09652036576
176	0.09648431331
177	0.09645037857
178	0.09636808529
179	0.09627129113
180	0.09620994225
181	0.09617019639
182	0.09611081764
183	0.09600458961
184	0.09596187621
185	0.09591012498
186	0.09584032803
187	0.0957569066
188	0.09570887233
189	0.09558865544
190	0.09549602945
191	0.0954203954
192	0.09536453326
193	0.0953121881
194	0.09526353404
195	0.09520973075
196	0.09517912648
197	0.09510972654
198	0.09504681838
199	0.09493434536
200	0.09487914748
201	0.09483326206
202	0.0947893963
203	0.09474589377
204	0.09470498515
205	0.0946559682
206	0.09460644025
207	0.09458621661
208	0.09450598433
209	0.09447414016
210	0.09439881435
211	0.09436638869
212	0.09430402991
213	0.0942740719
214	0.09423451729
215	0.09418389867
216	0.09414677984
217	0.09409691598
218	0.09403440342
219	0.09397659179
220	0.09391698567
221	0.09384697656
222	0.09378625095
223	0.09372051557
224	0.0937205274
225	0.09366758508
226	0.09364251725
227	0.09359035128
228	0.09355332861
229	0.09343553465
230	0.09338621461
231	0.09336316983
232	0.09330913971
233	0.09322138991
234	0.09317179991
235	0.09313134755
236	0.09307927335
237	0.09303428716
238	0.09298438222
239	0.09291671013
240	0.09283769454
241	0.09279956432
242	0.09275916044
243	0.09272769535
244	0.09268675026
245	0.09265444983
246	0.09261542571
247	0.09260817647
248	0.09258282905
249	0.09253021742
250	0.09248868902
251	0.09241403739
252	0.09236861373
253	0.09231084215
254	0.09225773127
255	0.09220575447
256	0.09218578179
257	0.0921176107
258	0.09206604885
259	0.09202730746
260	0.09196468195
261	0.09186829462
262	0.09184245143
263	0.09176297712
264	0.09172549504
265	0.0917074904
266	0.09167043248
267	0.09160863578
268	0.09156845696
269	0.09153756256
270	0.0914968211
271	0.09144092808
272	0.09133837531
273	0.09126348679
274	0.09119090013
275	0.09116037393
276	0.09112023939
277	0.0910601158
278	0.09101404772
279	0.09093932997
280	0.09090674924
281	0.09087261374
282	0.09083949258
283	0.09079640097
284	0.09076477881
285	0.09069242659
286	0.0906380389
287	0.09058763358
288	0.09052130521
289	0.09042455439
290	0.09038920231
291	0.09033819575
292	0.09029373508
293	0.09024397348
294	0.09020380969
295	0.09017618617
296	0.09013597034
297	0.09005840124
298	0.09001386253
299	0.08998859899
300	0.08992055618
301	0.08987778777
302	0.08982625157
303	0.08977426227
304	0.08972917565
305	0.08968698047
306	0.08960159501
307	0.08956385308
308	0.08952797016
309	0.08947440302
310	0.0894378749
311	0.08938314337
312	0.08931834855
313	0.08925075451
314	0.08922235865
315	0.08919172786
316	0.08914721751
317	0.08908156105
318	0.08904020944
319	0.08899147853
320	0.08894231939
321	0.08889529076
322	0.08884753443
323	0.08876465924
324	0.08871976503
325	0.08867963047
326	0.08863340864
327	0.0885941164
328	0.08857959922
329	0.088540209
330	0.08850810515
331	0.0884706263
332	0.0884400874
333	0.088401782
334	0.08837590834
335	0.08832976073
336	0.08822377602
337	0.08818801675
338	0.08814077499
339	0.08812049486
340	0.0880846772
341	0.08805717395
342	0.08800677167
343	0.08796893167
344	0.08791889681
345	0.08787492217
346	0.08784290884
347	0.08780352835
348	0.08776779354
349	0.08774671425
350	0.08771341192
351	0.08768631141
352	0.08762378728
353	0.08759411548
354	0.08756291747
355	0.08752732955
356	0.08749545842
357	0.08745732949
358	0.08743099139
359	0.08738824581
360	0.0873419539
361	0.08731568055
362	0.08728155393
363	0.08724877105
364	0.08721814583
365	0.08716379007
366	0.08710518478
367	0.08708791654
368	0.08705888253
369	0.08702168816
370	0.08698437292
371	0.08693221198
372	0.08691058558
373	0.08688403715
374	0.08684291402
375	0.08681214276
376	0.08678725501
377	0.0867431635
378	0.08670813087
379	0.08668250141
380	0.08664667513
381	0.08660579236
382	0.08655211643
383	0.0865192755
384	0.08648443443
385	0.08645116655
386	0.08640637068
387	0.08633860529
388	0.08630590064
389	0.08629617229
390	0.08626327539
391	0.08620997253
392	0.08616083558
393	0.08612183861
394	0.08608920862
395	0.08605647569
396	0.08602191839
397	0.08599703089
398	0.08596282734
399	0.08589761855
400	0.08585623503
401	0.08581192563
402	0.08577649261
403	0.08575808043
404	0.08571709123
405	0.08567545527
406	0.08562034337
407	0.08555931517
408	0.0854977751
409	0.08545561413
410	0.08540825098
411	0.08537183216
