iter	Passed	Remaining
400	15641	23364
401	15678	23322
402	15715	23280
403	15752	23238
404	15786	23193
405	15820	23146
406	15856	23102
407	15894	23063
408	15929	23017
409	15969	22980
410	16004	22936
411	16039	22891
412	16074	22846
413	16108	22801
414	16144	22758
415	16179	22713
416	16214	22669
417	16252	22629
418	16286	22583
419	16321	22539
420	16365	22507
421	16408	22474
422	16449	22438
423	16487	22398
424	16523	22355
425	16563	22318
426	16601	22278
427	16638	22235
428	16673	22192
429	16708	22148
430	16747	22109
431	16781	22064
432	16820	22026
433	16858	21985
434	16897	21946
435	16937	21910
436	16979	21875
437	17021	21840
438	17062	21804
439	17101	21765
440	17140	21726
441	17179	21688
442	17214	21644
443	17249	21600
444	17284	21557
445	17317	21511
446	17351	21466
447	17387	21424
448	17418	21376
449	17456	21335
450	17490	21291
451	17526	21249
452	17560	21204
453	17600	21166
454	17632	21120
455	17667	21077
456	17703	21035
457	17742	20996
458	17783	20960
459	17819	20918
460	17868	20892
461	17911	20858
462	17942	20810
463	17976	20765
464	18014	20726
465	18050	20683
466	18081	20636
467	18117	20595
468	18160	20561
469	18199	20523
470	18250	20497
471	18297	20467
472	18362	20458
473	18423	20445
474	18497	20445
475	18575	20449
476	18651	20449
477	18721	20445
478	18785	20433
479	18848	20419
480	18915	20410
481	18967	20384
482	19027	20366
483	19072	20333
484	19115	20298
485	19160	20264
486	19205	20230
487	19244	20190
488	19275	20142
489	19303	20091
490	19333	20041
491	19364	19993
492	19396	19947
493	19422	19894
494	19453	19846
495	19482	19796
496	19511	19747
497	19541	19698
498	19571	19649
499	19599	19599
500	19629	19551
501	19656	19499
502	19684	19449
503	19714	19401
504	19743	19353
505	19773	19304
506	19803	19256
507	19832	19207
508	19864	19161
509	19894	19114
510	19922	19065
511	19951	19016
512	19982	18969
513	20011	18921
514	20040	18873
515	20070	18826
516	20104	18782
517	20129	18730
518	20154	18678
519	20184	18632
520	20213	18583
521	20243	18537
522	20276	18492
523	20306	18446
524	20334	18397
525	20362	18349
526	20393	18303
527	20424	18258
528	20454	18211
529	20482	18163
530	20510	18115
531	20540	18069
532	20571	18024
533	20601	17978
534	20634	17934
535	20665	17889
536	20696	17844
537	20728	17800
538	20757	17753
539	20785	17705
540	20812	17658
541	20842	17612
542	20870	17565
543	20901	17520
544	20933	17476
545	20961	17429
546	20992	17384
547	21023	17340
548	21052	17294
549	21081	17248
550	21111	17203
551	21140	17157
552	21173	17114
553	21202	17069
554	21231	17023
555	21259	16976
556	21292	16934
557	21320	16888
558	21350	16843
559	21378	16797
560	21413	16756
561	21446	16714
562	21477	16670
563	21508	16627
564	21540	16584
565	21569	16539
566	21603	16497
567	21642	16460
568	21677	16420
569	21712	16379
570	21744	16337
571	21774	16293
572	21818	16258
