iter	Passed	Remaining
402	9246	13697
403	9266	13670
404	9286	13643
405	9310	13622
406	9336	13602
407	9355	13574
408	9375	13547
409	9394	13519
410	9415	13493
411	9436	13466
412	9456	13440
413	9475	13412
414	9494	13383
415	9520	13365
416	9544	13344
417	9566	13319
418	9585	13292
419	9605	13265
420	9628	13241
421	9648	13215
422	9669	13189
423	9688	13162
424	9708	13135
425	9730	13111
426	9750	13083
427	9776	13066
428	9796	13039
429	9816	13012
430	9840	12990
431	9860	12964
432	9879	12937
433	9899	12909
434	9918	12882
435	9940	12858
436	9962	12834
437	9985	12812
438	10006	12786
439	10028	12763
440	10048	12737
441	10068	12711
442	10087	12683
443	10106	12655
444	10126	12629
445	10145	12602
446	10165	12575
447	10185	12550
448	10205	12523
449	10232	12505
450	10256	12485
451	10276	12459
452	10295	12431
453	10313	12403
454	10335	12379
455	10356	12354
456	10375	12327
457	10394	12301
458	10413	12273
459	10438	12253
460	10460	12230
461	10481	12205
462	10500	12178
463	10521	12153
464	10542	12129
465	10564	12105
466	10584	12080
467	10605	12056
468	10628	12033
469	10651	12010
470	10679	11994
471	10699	11968
472	10719	11942
473	10743	11921
474	10764	11897
475	10784	11871
476	10807	11849
477	10824	11820
478	10845	11796
479	10871	11777
480	10891	11752
481	10909	11724
482	10928	11697
483	10941	11665
484	10959	11637
485	10974	11606
486	10988	11575
487	11003	11544
488	11017	11513
489	11032	11482
490	11049	11454
491	11065	11425
492	11084	11399
493	11100	11370
494	11115	11339
495	11130	11309
496	11144	11279
497	11164	11254
498	11183	11228
499	11202	11202
500	11221	11176
501	11241	11151
502	11262	11127
503	11286	11107
504	11305	11081
505	11324	11056
506	11342	11028
507	11361	11003
508	11383	10980
509	11402	10955
510	11421	10929
511	11439	10903
512	11459	10878
513	11477	10852
514	11497	10827
515	11517	10802
516	11539	10780
517	11560	10756
518	11581	10733
519	11601	10708
520	11619	10683
521	11638	10657
522	11657	10631
523	11679	10609
524	11699	10585
525	11723	10564
526	11744	10540
527	11764	10516
528	11784	10492
529	11803	10467
530	11822	10442
531	11842	10418
532	11863	10394
533	11886	10373
534	11904	10346
535	11927	10325
536	11953	10306
537	11975	10283
538	11996	10260
539	12015	10235
540	12034	10210
541	12052	10184
542	12073	10160
543	12095	10138
544	12117	10116
545	12137	10092
546	12165	10074
547	12190	10054
548	12211	10031
549	12230	10006
550	12249	9981
551	12268	9957
552	12289	9933
553	12312	9912
554	12332	9888
555	12349	9861
556	12373	9840
557	12397	9819
558	12417	9796
559	12435	9770
560	12454	9746
561	12472	9720
562	12490	9695
563	12508	9669
564	12530	9647
565	12549	9622
566	12570	9599
567	12593	9578
568	12614	9555
569	12633	9530
570	12653	9506
571	12672	9482
572	12691	9457
573	12710	9433
574	12727	9407
575	12746	9382
576	12766	9359
577	12787	9336
578	12815	9318
579	12837	9296
580	12854	9270
581	12873	9245
582	12891	9221
583	12912	9198
584	12934	9175
585	12953	9151
586	12971	9126
587	12990	9102
588	13029	9091
589	13048	9067
590	13062	9040
591	13080	9014
592	13094	8987
593	13114	8963
594	13133	8939
595	13150	8914
596	13167	8888
597	13187	8864
598	13207	8842
599	13234	8823
600	13255	8800
601	13274	8776
602	13294	8752
603	13314	8729
604	13330	8703
605	13344	8676
606	13358	8649
607	13372	8622
608	13386	8594
609	13401	8567
610	13414	8540
611	13431	8515
612	13452	8492
613	13468	8467
614	13483	8440
615	13497	8414
616	13512	8387
617	13526	8361
618	13543	8336
619	13562	8312
620	13580	8288
621	13597	8263
622	13616	8240
623	13639	8218
624	13661	8196
625	13680	8173
626	13699	8149
627	13718	8125
628	13731	8099
629	13747	8074
630	13763	8048
631	13779	8023
632	13793	7997
633	13809	7971
634	13824	7946
635	13840	7921
636	13861	7899
637	13880	7876
638	13896	7850
639	13914	7827
640	13934	7804
641	13954	7781
642	13972	7757
643	13991	7734
644	14010	7711
645	14030	7688
646	14057	7669
647	14079	7648
648	14099	7625
649	14119	7603
650	14140	7580
651	14161	7558
652	14181	7536
653	14199	7512
654	14219	7489
655	14241	7468
656	14268	7449
657	14288	7426
658	14307	7403
659	14325	7379
660	14343	7356
661	14364	7333
662	14383	7311
663	14401	7287
664	14420	7264
665	14439	7241
666	14460	7219
667	14487	7200
668	14508	7178
669	14528	7155
670	14548	7133
671	14570	7111
672	14592	7090
673	14612	7067
674	14631	7044
675	14650	7022
676	14674	7001
677	14696	6979
678	14715	6956
679	14734	6934
680	14754	6911
681	14776	6889
682	14797	6867
683	14816	6845
684	14835	6821
685	14853	6798
686	14872	6776
687	14895	6754
688	14919	6734
689	14938	6711
690	14956	6688
691	14975	6665
692	14994	6642
693	15012	6619
694	15030	6595
695	15050	6573
696	15069	6551
697	15091	6529
698	15115	6508
699	15138	6487
700	15155	6464
701	15173	6441
702	15196	6420
